Code Line,User Explanation,Line-Explanation in PCEX,Annotation Score
Scanner scan = new Scanner(System.in);,creates a new Scanner instance which points to the input stream passed as argument.,"To read the input value from the user, we need to define a Scanner object.",4
Scanner scan = new Scanner(System.in);,creates a new Scanner instance which points to the input stream passed as argument.,We need to read and process the value that the user enters.,2
Scanner scan = new Scanner(System.in);,In this case the steam is Standard input stream,"To read the input value from the user, we need to define a Scanner object.",2
Scanner scan = new Scanner(System.in);,In this case the steam is Standard input stream,We need to read and process the value that the user enters.,2
"System.out.println(""Enter an integer for seconds: "");","prints the argument (""Enter an integer for second: "") passed to the standard console and a newline",We prompt the user to enter the seconds.,4
int seconds = scan.nextInt();,"scaner object reads in a string of digits (characters) and converts them into an int type, and put them in variable entitled ""seconds""",We need to read the seconds that the user enters and store it in a variable.,4
int seconds = scan.nextInt();,"scaner object reads in a string of digits (characters) and converts them into an int type, and put them in variable entitled ""seconds""",We read the seconds by calling the nextInt() method because this input is an integer.,4
scan.close();,closes scan the input that has been opened,We close the scanner as we do not want to process any input from the user in the rest of the program.,3
int minutes = seconds / 60;,"creates varible entitled ""minutes"" which contain calculation of variable ""second"" divided by 60","To obtain the minutes in seconds, we divide the seconds by 60 because there are 60 seconds in a minute.",4
int minutes = seconds / 60;,"creates varible entitled ""minutes"" which contain calculation of variable ""second"" divided by 60","Note that since both operands of division operator are integer, the fractional part of the result is truncated, if there is any.",2
int remainingSeconds = seconds % 60;,"creates varible entitled ""remainingSeconds"" which contain calculation of variable ""second"" modulus by 60",This is because there are 60 seconds in a minute.,2
int remainingSeconds = seconds % 60;,"creates varible entitled ""remainingSeconds"" which contain calculation of variable ""second"" modulus by 60",Note that the % operator returns the remainder of the division.,2
int remainingSeconds = seconds % 60;,"creates varible entitled ""remainingSeconds"" which contain calculation of variable ""second"" modulus by 60","To obtain the remaining seconds after taking away the minutes, we have to take the remainder of the seconds divided by 60.",3
"System.out.println(seconds + "" seconds is "" + minutes + "" minutes and "" + remainingSeconds + "" seconds."");",prints in the console line the character passed inside the argument,This statement prints to the default standard output stream the minutes and remaining seconds from the input amount of time in seconds.,2
"System.out.println(seconds + "" seconds is "" + minutes + "" minutes and "" + remainingSeconds + "" seconds."");",prints in the console line the character passed inside the argument,The printed text is followed by the end-of-line character at the end.,1
int num = 15;,"create variable integer entitled ""num"" with value 5",We define variable num to store the number that we want to find its smallest divisor.,3
int num = 15;,"create variable integer entitled ""num"" with value 5",We could initialize it to any positive integer greater than 1.,2
int num = 15;,"create variable integer entitled ""num"" with value 5","In this program, we initialize variable num to 15.",2
int divisor = 2;,"creates variable integer entitled ""division"" with initial value 2",We initialize variable divisor by 2 because we want to find the smallest divisor except 1.,3
int divisor = 2;,"creates variable integer entitled ""division"" with initial value 2",We define variable divisor to store the smallest divisor of the number.,2
int num = 15;,"creates variable integer entitled ""num"" with initial value 5",We define variable num to store the number that we want to find its smallest divisor.,2
int num = 15;,"creates variable integer entitled ""num"" with initial value 5",We could initialize it to any positive integer greater than 1.,2
int num = 15;,"creates variable integer entitled ""num"" with initial value 5","In this program, we initialize variable num to 15.",2
int divisor = 2;,"creates variable integer entitled ""divisor"" with initial value 2",We initialize variable divisor by 2 because we want to find the smallest divisor except 1.,3
int divisor = 2;,"creates variable integer entitled ""divisor"" with initial value 2",We define variable divisor to store the smallest divisor of the number.,3
while (num % divisor != 0) {,"creates looping ""while"" with condition while variable num modulus by the value of divisor is not null then execute the below code","Since we don't know ahead of time how many times the loop will be repeated, we need to use a while loop.",3
while (num % divisor != 0) {,"creates looping ""while"" with condition while variable num modulus by the value of divisor is not null then execute the below code",We need to increment the divisor repeatedly as long as the divisor is not a factor of the number.,1
while (num % divisor != 0) {,"creates looping ""while"" with condition while variable num modulus by the value of divisor is not null then execute the below code","Therefore, we need to use a loop structure.",4
while (num % divisor != 0) {,"creates looping ""while"" with condition while variable num modulus by the value of divisor is not null then execute the below code","The condition in the while loop tests whether the body of the loop should be repeated, so it should test whether the divisor is not a factor of the number.",2
while (num % divisor != 0) {,"creates looping ""while"" with condition while variable num modulus by the value of divisor is not null then execute the below code",We could check whether the divisor is not a factor of the number by computing the remainder of the division of the number by the divisor.,2
divisor += 1;,add divisor variable by + 1,"When the divisor is not a factor of the number, we increment the variable divisor by 1.",3
"System.out.println(""The smallest divisor of "" + num + "" is "" + divisor);",prints the character to the console with the argument inside it.,This statement prints to the default standard output stream the smallest divisor of the number.,2
Scanner scan = new Scanner(System.in);,"defines a new scanner, named ""scan"" and inputs System.in","To read the input value from the user, we need to define a Scanner object.",3
Scanner scan = new Scanner(System.in);,"defines a new scanner, named ""scan"" and inputs System.in",We need to read and process the integer that the user enters.,2
"System.out.println(""Enter an integer: "");",Asks user to enter an integer,We prompt the user to enter an integer.,5
int num = scan.nextInt();,"sets the user input as ""num""",We read the input integer by calling the nextInt() method because this input is an integer.,2
int num = scan.nextInt();,"sets the user input as ""num""",We need to read the integer that the user enters and store it in a variable.,4
scan.close();,terminates the input,We close the scanner as we do not want to process any input from the user in the rest of the program.,2
"System.out.println(""The integer is positivie."");","outputs ""The integer is positive"" if num is greater than o",This statement prints that the integer is positive.,5
"System.out.println(""The integer is positivie."");","outputs ""The integer is positive"" if num is greater than o",The printed text is followed by the end-of-line character at the end.,1
} else if ( num < 0 ) {,"if num is not greater than 0, condition num less than zero is next","If the first test fails (i.e., when the integer is not positive), we need to test if the integer is negative.",4
if ( num > 0 ) {,"begins an if-else condition, with num being larger than 0 as the first option","If the integer is neither positive nor negative, then we could conclude that the integer is zero.",2
if ( num > 0 ) {,"begins an if-else condition, with num being larger than 0 as the first option","The conditions that tests for the integer's sign are mutually exclusive (i.e., one and only one of the conditions can be true); therefore, their order does not matter.",2
if ( num > 0 ) {,"begins an if-else condition, with num being larger than 0 as the first option","To determine the sign of the integer, we need to perform two tests: one for determining whether the integer is positive and one for determining whether the integer is negative.",3
if ( num > 0 ) {,"begins an if-else condition, with num being larger than 0 as the first option","Also, it is better to use if-else if statements instead of sequential if statements because an integer has only one sign and once we find the sign, we don't need to perform more tests.",2
if ( num > 0 ) {,"begins an if-else condition, with num being larger than 0 as the first option","If both of these tests fail, then we could conclude that the integer is zero.",1
"System.out.println(""The integer is negative."");","if num is less than zero, output ""The integer is negative""",The printed text is followed by the end-of-line character at the end.,1
"System.out.println(""The integer is negative."");","if num is less than zero, output ""The integer is negative""",This statement prints that the integer is negative.,4
} else {,"if the num hasn't met the first two conditions, proceed","We need to end the above if-else if statements with an else statement that its body is executed when none of the above tests are true, that is when the integer is zero.",4
"System.out.println(""The integer is zero."");","output ""The integer is zero,""",The printed text is followed by the end-of-line character at the end.,1
"System.out.println(""The integer is zero."");","output ""The integer is zero,""",This statement prints that the integer is zero.,5
"int [] arr = { 1, 2, 3};",creates an int array with three integers defined,We initialize the array of type int to hold the specified numbers.,4
"int [] arr = { 1, 2, 3};",creates an int array with three integers defined,We initialize the array by separating elements with a comma and enclosing the collection in braces { }.,3
for ( int i = 0; i < arr.length; i++ ) {,"runs i from i equal to 0 the next line, adding 1 to i each time until i reaches the array length",We want to iterate over the array and increment each element in the array by 1.,3
for ( int i = 0; i < arr.length; i++ ) {,"runs i from i equal to 0 the next line, adding 1 to i each time until i reaches the array length","To really change the array as we march across it, we need to use indexes so we can assign an updated value to each position as we go.",2
for ( int i = 0; i < arr.length; i++ ) {,"runs i from i equal to 0 the next line, adding 1 to i each time until i reaches the array length",We need the array indexes to start at 0 (array indexes start from 0) with every integer number up to but not including the array length.,5
arr[i] += 1;,adds 1 to array position each iteration,This statement increments the element at the index i of the array by 1.,4
int num = 1234;,the number that will be printed,We need variable num to store the integer that we want to print its digits.,3
do {,loop start,We need to process the digits of the integer from right to left and print them.,1
do {,loop start,"Therefore, we need to use a loop structure.",3
do {,loop start,"In this program, we do this by using a do loop.",2
do {,loop start,The do loop is more appropriate than a while loop because a positive integer always has at least one digit which results in the body of the loop performing at least once.,2
System.out.println(num % 10);,number output,Each printed digit is followed by the line separator (e.g. '\n') at the end.,2
System.out.println(num % 10);,number output,We need to extract the last digit in the 1's position of the integer.,1
System.out.println(num % 10);,number output,"For example, if the integer is 1234, we want to extract the digit 4 that is in 1's position of the integer.",1
System.out.println(num % 10);,number output,We do this by calculating the remainder of the division of the integer by 10.,1
System.out.println(num % 10);,number output,"Then, this statement prints the last digit of the integer to the standard output stream.",3
num = num / 10;,go to the next number,"Therefore, this division will remove the digit that we processed (lastDigit) and we can move on to the next digit.",3
num = num / 10;,go to the next number,We truncate the extracted digit that we processed from the original integer by dividing the integer by 10.,1
num = num / 10;,go to the next number,Note that this statement performs an integer division because both operand of the / operator are integer.,1
} while (num > 0);,loop condition,We need to check for termination conditions to avoid infinite loops.,3
} while (num > 0);,loop condition,The loop should terminate when we run out of digits to process.,2
} while (num > 0);,loop condition,"We could check whether the are more digits left by checking whether the variable num, which gets updated in the body of the do loop, is greater than zero.",2
} while (num > 0);,loop condition,"If variable num is greater than zero, then it must have at least one digit, and in that case, the body of the do loop will be repeated again.",2
} while (num > 0);,loop condition,The body of the while loop should repeat as long as there are more digits left that we have not processed yet.,1
int num = 1234;,"sets ""num"" to the integer 1234",We need variable num to store the integer that we want to print its digits.,2
do {,initiates a do/while task,We need to process the digits of the integer from right to left and print them.,1
do {,initiates a do/while task,"Therefore, we need to use a loop structure.",2
do {,initiates a do/while task,"In this program, we do this by using a do loop.",3
do {,initiates a do/while task,The do loop is more appropriate than a while loop because a positive integer always has at least one digit which results in the body of the loop performing at least once.,2
System.out.println(num % 10);,print the remainder of num divided by 10,Each printed digit is followed by the line separator (e.g. '\n') at the end.,1
System.out.println(num % 10);,print the remainder of num divided by 10,We need to extract the last digit in the 1's position of the integer.,3
System.out.println(num % 10);,print the remainder of num divided by 10,"For example, if the integer is 1234, we want to extract the digit 4 that is in 1's position of the integer.",1
System.out.println(num % 10);,print the remainder of num divided by 10,We do this by calculating the remainder of the division of the integer by 10.,4
System.out.println(num % 10);,print the remainder of num divided by 10,"Then, this statement prints the last digit of the integer to the standard output stream.",3
System.out.println(num % 10);,print the remainder of num divided by 10,Each printed digit is followed by the line separator (e.g. '\n') at the end.,1
System.out.println(num % 10);,print the remainder of num divided by 10,We need to extract the last digit in the 1's position of the integer.,3
System.out.println(num % 10);,print the remainder of num divided by 10,"For example, if the integer is 1234, we want to extract the digit 4 that is in 1's position of the integer.",2
System.out.println(num % 10);,print the remainder of num divided by 10,We do this by calculating the remainder of the division of the integer by 10.,4
System.out.println(num % 10);,print the remainder of num divided by 10,"Then, this statement prints the last digit of the integer to the standard output stream.",3
num = num / 10;,reset num to num divided by 10,"Therefore, this division will remove the digit that we processed (lastDigit) and we can move on to the next digit.",3
num = num / 10;,reset num to num divided by 10,We truncate the extracted digit that we processed from the original integer by dividing the integer by 10.,3
num = num / 10;,reset num to num divided by 10,Note that this statement performs an integer division because both operand of the / operator are integer.,2
} while (num > 0);,continue do-task while num is greater than zero,We need to check for termination conditions to avoid infinite loops.,2
} while (num > 0);,continue do-task while num is greater than zero,The loop should terminate when we run out of digits to process.,3
} while (num > 0);,continue do-task while num is greater than zero,"We could check whether the are more digits left by checking whether the variable num, which gets updated in the body of the do loop, is greater than zero.",4
} while (num > 0);,continue do-task while num is greater than zero,"If variable num is greater than zero, then it must have at least one digit, and in that case, the body of the do loop will be repeated again.",4
} while (num > 0);,continue do-task while num is greater than zero,The body of the while loop should repeat as long as there are more digits left that we have not processed yet.,3
Scanner scan = new Scanner(System.in);,"define a new Scanner named ""scan"" using sytem input","To read the input values from the user, we need to define a Scanner object.",3
Scanner scan = new Scanner(System.in);,"define a new Scanner named ""scan"" using sytem input",We need to read and process the values that the user enters.,2
"System.out.println(""Enter the phone age in years:"");","outputs ""Enter the phone age in years"" for user to respond to",We prompt the user to enter the phone age in years.,4
int phoneAge = scan.nextInt();,defines a new int as the input from the user,We read the phone age by calling the nextInt() method because this input is an integer.,3
int phoneAge = scan.nextInt();,defines a new int as the input from the user,We need to read the phone age that the user enters and store it in a variable.,3
"System.out.println(""Enter whether the phone is broken (true or false):"");",Asks user a true or false question,We prompt the user to enter whether the phone is broken.,3
boolean isBroken = scan.nextBoolean();,creates a boolean variable defined by the user input,We need to read whether the phone is broken and store it in a variable.,3
boolean isBroken = scan.nextBoolean();,creates a boolean variable defined by the user input,"The variable isBroken is true when the phone is broken, and false otherwise.",2
boolean isBroken = scan.nextBoolean();,creates a boolean variable defined by the user input,We read whether the phone is broken by calling the nextBoolean() method because this input is a boolean.,2
scan.close();,ends input capability,We close the scanner as we do not want to process any input from the user in the rest of the program.,4
Scanner scan = new Scanner(System.in);,Data entry,"To read the input values from the user, we need to define a Scanner object.",2
Scanner scan = new Scanner(System.in);,Data entry,We need to read and process the values that the user enters.,3
"System.out.println(""Enter the phone age in years:"");","On-screen display ""Enter the phone age in years:""",We prompt the user to enter the phone age in years.,4
int phoneAge = scan.nextInt();,Telphone age entry,We read the phone age by calling the nextInt() method because this input is an integer.,2
int phoneAge = scan.nextInt();,Telphone age entry,We need to read the phone age that the user enters and store it in a variable.,2
"System.out.println(""Enter whether the phone is broken (true or false):"");","Shows the phrase: ""Enter whether the phone is broken (true or false):""",We prompt the user to enter whether the phone is broken.,4
boolean isBroken = scan.nextBoolean();,Whether it is broken or not,We need to read whether the phone is broken and store it in a variable.,3
boolean isBroken = scan.nextBoolean();,Whether it is broken or not,"The variable isBroken is true when the phone is broken, and false otherwise.",2
boolean isBroken = scan.nextBoolean();,Whether it is broken or not,We read whether the phone is broken by calling the nextBoolean() method because this input is a boolean.,2
scan.close();,Closes entries,We close the scanner as we do not want to process any input from the user in the rest of the program.,2
boolean needPhone = isBroken || phoneAge >= 3;,determines a boolean (T/F) based on what the user inputted or if the phoneAge value is greater than or equal to 3,We use the || operator (called or) to combine the two conditions.,3
boolean needPhone = isBroken || phoneAge >= 3;,determines a boolean (T/F) based on what the user inputted or if the phoneAge value is greater than or equal to 3,The first condition is to test if the phone is broken and the second condition is to test if the phone age is at least 3 years old.,4
boolean needPhone = isBroken || phoneAge >= 3;,determines a boolean (T/F) based on what the user inputted or if the phoneAge value is greater than or equal to 3,We need two conditions to determine if it is the time for a new phone.,3
boolean needPhone = isBroken || phoneAge >= 3;,Conditions if a new phone is needed,We use the || operator (called or) to combine the two conditions.,2
boolean needPhone = isBroken || phoneAge >= 3;,Conditions if a new phone is needed,The first condition is to test if the phone is broken and the second condition is to test if the phone age is at least 3 years old.,2
boolean needPhone = isBroken || phoneAge >= 3;,Conditions if a new phone is needed,We need two conditions to determine if it is the time for a new phone.,3
System.out.println(needPhone);,Shows whether it is necessary or not,This statement prints true/false depending on whether it is time to buy a new phone.,3
System.out.println(needPhone);,Shows whether it is necessary or not,The printed value is followed by an end-of-line character in the end.,1
System.out.println(needPhone);,"outputs the boolean result of ""needPhone""",This statement prints true/false depending on whether it is time to buy a new phone.,4
System.out.println(needPhone);,"outputs the boolean result of ""needPhone""",The printed value is followed by an end-of-line character in the end.,1
"String fullName = ""John Smith""",Stores the name,We define a string variable to hold the name.,4
"String firstInitial = fullName.substring(0, 1);",Retrieves the initial of the first name,We need to extract the first letter from the first name.,4
"String firstInitial = fullName.substring(0, 1);",Retrieves the initial of the first name,"We do this by calling the substring(0,1) method.",2
"String lastInitial = fullName.substring(5, 6);",Retrieves the initial of the least name,We need to extract the first letter from the last name.,4
"String lastInitial = fullName.substring(5, 6);",Retrieves the initial of the least name,"We do this by calling the substring(5,6) method.",1
String initials = firstInitial + lastInitial;,Join the two initials,This statements concatenates the extracted initials and store the result in the string initials.,4
System.out.println(initials);,Shows initials,This statement prints the initials to the default standard output stream.,3
System.out.println(initials);,Shows initials,The printed value is followed by the end-of-line character at the end.,1
"int[] values = {5, 8, 4, 78, 95, 12, 1, 0, 6, 35, 46};",Values to be analyzed,We define array values to hold the specified numbers.,3
"int[] values = {5, 8, 4, 78, 95, 12, 1, 0, 6, 35, 46};",Values to be analyzed,We initialize the array by separating elements with a comma and enclosing the collection in braces { }.,1
int maxValue = values[0];,Variable that will store the maximum value,We need variable maxValue to store the maximum value of the array.,4
int maxValue = values[0];,Variable that will store the maximum value,We initialize this variable by the first value in the array because we initially assume that the first value is the maximum.,2
for (int i = 1; i < values.length; i++) {,Loop start,We use a for loop to iterate over the remaining array indexes and search for the maximum value.,2
for (int i = 1; i < values.length; i++) {,Loop start,We need the array indexes to start at 1 with every integer number up to but not including the array length.,1
if (values[i] > maxValue) {,First condition,We need to compare the value at the index i of the array with the maximum value stored in variable maxValue.,2
if (values[i] > maxValue) {,First condition,"If the value at that index is larger than the maximum value, then we need to set the maximum value to the value of the element at index i.",1
"System.out.println(""Maximum value: "" + maxValue);",Prints the result,This statement prints the maximum value of the array to the default standard output stream.,3
maxValue = values[i];,Recovers the maximum value,This statement sets the maximum value to value of the element at index i of the array.,2
for (int num = 2; num <= 10; num += 2) {,Loop structure,"To do this, we need to use a loop structure.",4
for (int num = 2; num <= 10; num += 2) {,Loop structure,We need to repeat the same process for each of the even positive integers that are less than or equal to 10.,2
for (int num = 2; num <= 10; num += 2) {,Loop structure,"To do this, we initialize variable num to 2, loop until reaching 10 (inclusive), and increment num by 2 after each iteration of the loop.",2
for (int num = 2; num <= 10; num += 2) {,Loop structure,"We use for loops instead of a while loop because we need to repeat the loop a certain number of times, and for loops are best-suited in cases like this when we know ahead of time the number of times that we need to repeat the loop.",2
for (int num = 2; num <= 10; num += 2) {,Loop structure,"Here, we want the for loop to start counting from 2 (2 is the first positive even number) with every even integer number up to (including) 10.",2
"System.out.println(num + "" squared = "" + (num * num));",Prints the result,The multiplication may also be performed directly in the println statement.,2
"System.out.println(num + "" squared = "" + (num * num));",Prints the result,Note that we do not necessarily have to store the squared number in a variable.,1
"System.out.println(num + "" squared = "" + (num * num));",Prints the result,"To square each number in the sequence, we multiply it by itself using the multiplication (*) operator.",1
"System.out.println(num + "" squared = "" + (num * num));",Prints the result,"In each iteration of the loop, this statement prints the square number to the default standard output stream.",2
Point1 point = new Point1();,Stores the point,This statement creates a Point1 object using the new keyword and empty parentheses.,2
Point1 point = new Point1();,Stores the point,The variable point holds a reference to a Point1 object.,1
point.setX(7);,Set the X axis,This statement invokes the method setX of the point to set its x-coordinate to 7.,3
"point.translate(11, 6);",Joins the x and y axis values,This statement invokes the method translate of the point.,1
"point.translate(11, 6);",Joins the x and y axis values,The second parameter specifies how much we want to shift the y-coordinate of the point.,1
"point.translate(11, 6);",Joins the x and y axis values,The translate method receives two parameters.,1
"point.translate(11, 6);",Joins the x and y axis values,The first parameter specifies how much we want to shift the x-coordinate of the point.,1
"System.out.println(""The point's coordinates: ("" + point.getX() + "", "" + point.getY() + "")"") ;",Prints the axes,Note that we do not necessarily have to store the returned value from each of these methods in a variable.,1
"System.out.println(""The point's coordinates: ("" + point.getX() + "", "" + point.getY() + "")"") ;",Prints the axes,We could use the returned value of them directly in the println statement.,1
"System.out.println(""The point's coordinates: ("" + point.getX() + "", "" + point.getY() + "")"") ;",Prints the axes,This statement prints the coordinates of the point to the default standard output stream.,2
"System.out.println(""The point's coordinates: ("" + point.getX() + "", "" + point.getY() + "")"") ;",Prints the axes,The printed text is followed by the end-of-line character at the end.,1
"System.out.println(""The point's coordinates: ("" + point.getX() + "", "" + point.getY() + "")"") ;",Prints the axes,"To get the point's coordinates, we invoke the method getX and getY of the point.",1
class Point1 {,Creates the Point1 class,We define the class Point1 to represent a point in the Euclidean plane.,3
private int y;,Variable Y,"Therefore, we need to declare an instance variable for the class to store the y-coordinate of the point.",2
private int y;,Variable Y,We declare it as integer because we want to have integer coordinates for the point.,1
private int y;,Variable Y,"Note that an instance variable is a variable defined in a class, for which each instantiated object of the class has a separate copy, or instance.",1
private int y;,Variable Y,Every object of the Point1 class will have its own y-coordinate.,2
"public void translate(int dx, int dy) {",Axles,"This method shifts the coordinates by a specific delta-x and delta-y, which are passed as parameters.",1
"public void translate(int dx, int dy) {",Axles,We define this method as public to provide access to this method from outside of the class.,1
"public void translate(int dx, int dy) {",Axles,"Also, we define its return type as void, as it does not return any value.",1
"public void translate(int dx, int dy) {",Axles,Note that both of the parameters are declared as integers because the point has integer coordinates.,1
x += dx;,Changes the X axis,"To shift the x-coordinate of the point, we need to add dx to the value of the x-coordinate of the point.",2
public void setX(int newX) {,New X axis,"Also, we define its return type as void, as it does not return any value.",1
public void setX(int newX) {,New X axis,We define this method as public to provide access to this method from outside of the class.,1
public void setX(int newX) {,New X axis,This method sets the current value of the x-coordinate of the point to the given value (newX) that is specified as the method's parameter.,2
public void setX(int newX) {,New X axis,"Note that the instance variable x is private; thus, it cannot be directly changed from outside the class.",1
public void setX(int newX) {,New X axis,The parameter of the method is declared as integer because the x-coordinate of the point is an integer.,1
public void setX(int newX) {,New X axis,It can be changed from outside the class only through this method.,1
public int getX() {,Recovers the X axis,We define this method as public to provide access to this method from outside of the class.,1
public int getX() {,Recovers the X axis,This method returns the x-coordinate of the point.,3
public int getX() {,Recovers the X axis,"Note that the instance variable x is private; thus, it cannot be directly accessed from outside the class.",1
public int getX() {,Recovers the X axis,"Also, we define its return type as int, as it returns the x-coordinate of the point which is an integer.",1
public int getX() {,Recovers the X axis,It can be accessed from outside the class only through this getter method.,1
Scanner scan = new Scanner(System.in);,Set input,"To read the input value from the user, we need to define a Scanner object.",2
Scanner scan = new Scanner(System.in);,Set input,We need to read and process the value that the user enters.,2
"System.out.println(""Enter an integer for seconds: "");","Display the message ""Enter an integer for seconds:""",We prompt the user to enter the seconds.,4
int seconds = scan.nextInt();,Creates the variable seconds,We need to read the seconds that the user enters and store it in a variable.,3
int seconds = scan.nextInt();,Creates the variable seconds,We read the seconds by calling the nextInt() method because this input is an integer.,2
for (int num = 2; num <= 10; num += 2) {,"This for loop will first assign the num variable to 2, execute what is in the body and then increment num by 2 (which guarantees that num is positive) each round until num reaches the value 10.","To do this, we need to use a loop structure.",3
for (int num = 2; num <= 10; num += 2) {,"This for loop will first assign the num variable to 2, execute what is in the body and then increment num by 2 (which guarantees that num is positive) each round until num reaches the value 10.",We need to repeat the same process for each of the even positive integers that are less than or equal to 10.,3
for (int num = 2; num <= 10; num += 2) {,"This for loop will first assign the num variable to 2, execute what is in the body and then increment num by 2 (which guarantees that num is positive) each round until num reaches the value 10.","To do this, we initialize variable num to 2, loop until reaching 10 (inclusive), and increment num by 2 after each iteration of the loop.",4
for (int num = 2; num <= 10; num += 2) {,"This for loop will first assign the num variable to 2, execute what is in the body and then increment num by 2 (which guarantees that num is positive) each round until num reaches the value 10.","We use for loops instead of a while loop because we need to repeat the loop a certain number of times, and for loops are best-suited in cases like this when we know ahead of time the number of times that we need to repeat the loop.",2
for (int num = 2; num <= 10; num += 2) {,"This for loop will first assign the num variable to 2, execute what is in the body and then increment num by 2 (which guarantees that num is positive) each round until num reaches the value 10.","Here, we want the for loop to start counting from 2 (2 is the first positive even number) with every even integer number up to (including) 10.",4
for (int num = 2; num <= 10; num += 2) {,"Since num must be <= 10 to execute what code is in the body of the function, the code in the body will execute for num = 10 as well.","To do this, we need to use a loop structure.",1
for (int num = 2; num <= 10; num += 2) {,"Since num must be <= 10 to execute what code is in the body of the function, the code in the body will execute for num = 10 as well.",We need to repeat the same process for each of the even positive integers that are less than or equal to 10.,2
for (int num = 2; num <= 10; num += 2) {,"Since num must be <= 10 to execute what code is in the body of the function, the code in the body will execute for num = 10 as well.","To do this, we initialize variable num to 2, loop until reaching 10 (inclusive), and increment num by 2 after each iteration of the loop.",2
for (int num = 2; num <= 10; num += 2) {,"Since num must be <= 10 to execute what code is in the body of the function, the code in the body will execute for num = 10 as well.","We use for loops instead of a while loop because we need to repeat the loop a certain number of times, and for loops are best-suited in cases like this when we know ahead of time the number of times that we need to repeat the loop.",1
for (int num = 2; num <= 10; num += 2) {,"Since num must be <= 10 to execute what code is in the body of the function, the code in the body will execute for num = 10 as well.","Here, we want the for loop to start counting from 2 (2 is the first positive even number) with every even integer number up to (including) 10.",3
int minutes = seconds / 60;,Create the variable minutes,"To obtain the minutes in seconds, we divide the seconds by 60 because there are 60 seconds in a minute.",2
int minutes = seconds / 60;,Create the variable minutes,"Note that since both operands of division operator are integer, the fractional part of the result is truncated, if there is any.",1
int remainingSeconds = seconds % 60;,Stores the missing seconds,This is because there are 60 seconds in a minute.,1
int remainingSeconds = seconds % 60;,Stores the missing seconds,Note that the % operator returns the remainder of the division.,1
int remainingSeconds = seconds % 60;,Stores the missing seconds,"To obtain the remaining seconds after taking away the minutes, we have to take the remainder of the seconds divided by 60.",1
"System.out.println(seconds + "" seconds is "" + minutes + "" minutes and "" + remainingSeconds + "" seconds."");",Output,This statement prints to the default standard output stream the minutes and remaining seconds from the input amount of time in seconds.,2
"System.out.println(seconds + "" seconds is "" + minutes + "" minutes and "" + remainingSeconds + "" seconds."");",Output,The printed text is followed by the end-of-line character at the end.,1
int num = 15;,Creates the variable num,We define variable num to store the number that we want to find its smallest divisor.,3
int num = 15;,Creates the variable num,We could initialize it to any positive integer greater than 1.,1
int num = 15;,Creates the variable num,"In this program, we initialize variable num to 15.",2
"System.out.println(num + "" squared = "" + (num * num));",This code will print what the current num is and its squared value.,The multiplication may also be performed directly in the println statement.,1
"System.out.println(num + "" squared = "" + (num * num));",This code will print what the current num is and its squared value.,Note that we do not necessarily have to store the squared number in a variable.,1
"System.out.println(num + "" squared = "" + (num * num));",This code will print what the current num is and its squared value.,"To square each number in the sequence, we multiply it by itself using the multiplication (*) operator.",2
"System.out.println(num + "" squared = "" + (num * num));",This code will print what the current num is and its squared value.,"In each iteration of the loop, this statement prints the square number to the default standard output stream.",3
"System.out.println(num + "" squared = "" + (num * num));","For instance, if num is 4 it will print ""4 squared = 16"".",The multiplication may also be performed directly in the println statement.,1
"System.out.println(num + "" squared = "" + (num * num));","For instance, if num is 4 it will print ""4 squared = 16"".",Note that we do not necessarily have to store the squared number in a variable.,1
"System.out.println(num + "" squared = "" + (num * num));","For instance, if num is 4 it will print ""4 squared = 16"".","To square each number in the sequence, we multiply it by itself using the multiplication (*) operator.",1
"System.out.println(num + "" squared = "" + (num * num));","For instance, if num is 4 it will print ""4 squared = 16"".","In each iteration of the loop, this statement prints the square number to the default standard output stream.",2
int divisor = 2;,Creates the variable divisor,We initialize variable divisor by 2 because we want to find the smallest divisor except 1.,2
int divisor = 2;,Creates the variable divisor,We define variable divisor to store the smallest divisor of the number.,3
while (num % divisor != 0) {,Loop start,"Since we don't know ahead of time how many times the loop will be repeated, we need to use a while loop.",2
while (num % divisor != 0) {,Loop start,We need to increment the divisor repeatedly as long as the divisor is not a factor of the number.,1
while (num % divisor != 0) {,Loop start,"Therefore, we need to use a loop structure.",2
while (num % divisor != 0) {,Loop start,"The condition in the while loop tests whether the body of the loop should be repeated, so it should test whether the divisor is not a factor of the number.",1
while (num % divisor != 0) {,Loop start,We could check whether the divisor is not a factor of the number by computing the remainder of the division of the number by the divisor.,1
divisor += 1;,Find the new divisor,"When the divisor is not a factor of the number, we increment the variable divisor by 1.",2
scan.close();,Closes the entrance,We close the scanner as we do not want to process any input from the user in the rest of the program.,2
"System.out.println(""The smallest divisor of "" + num + "" is "" + divisor);",Output,This statement prints to the default standard output stream the smallest divisor of the number.,2
Point1 point = new Point1();,This line instantiates a brand new Point1 object.,This statement creates a Point1 object using the new keyword and empty parentheses.,3
Point1 point = new Point1();,This line instantiates a brand new Point1 object.,The variable point holds a reference to a Point1 object.,2
Scanner scan = new Scanner(System.in);,Set input start,"To read the input value from the user, we need to define a Scanner object.",2
Scanner scan = new Scanner(System.in);,Set input start,We need to read and process the integer that the user enters.,2
"System.out.println(""Enter an integer: "");","Prints the phrase ""Enter an integer:""",We prompt the user to enter an integer.,4
